Date,Amazon price,Flipkart price

03/10/2022,89900,89900
04/10/2022,89900,89900
05/10/2022,89900,89900
06/10/2022,89900,89900
07/10/2022,89900,89900
08/10/2022,89900,89900
09/10/2022,89900,89900
10/10/2022,89900,89900
11/10/2022,89900,89900
12/10/2022,89900,89900
13/10/2022,89900,89900
14/10/2022,89900,89900
15/10/2022,89900,89900
16/10/2022,89900,89900
17/10/2022,89900,89900
18/10/2022,89900,89900
19/10/2022,89900,89900
20/10/2022,89900,89900
21/10/2022,89900,89900
22/10/2022,89900,89900
23/10/2022,89900,89900
24/10/2022,89900,89900
25/10/2022,89900,89900
26/10/2022,89900,89900
27/10/2022,89900,89900
28/10/2022,89900,89900
29/10/2022,89900,89900
30/10/2022,89900,89900
31/10/2022,89900,89900
01/11/2022,89900,89900
02/11/2022,89900,89900
03/11/2022,89900,89900
04/11/2022,89900,89900
05/11/2022,89900,89900
06/11/2022,89900,89900
07/11/2022,89900,89900
